date,time,competition,player1,player2,winner,set_scores,source_match_id
2025-06-01,00:00:00,2025-06-01 Men Night1 Mexico,Vadim Urechean,Dmitri Culaghin,Dmitri Culaghin,3-11;8-11;11-8;14-12;6-11,639913
2025-06-01,00:30:00,2025-06-01 Men Night1 Mexico,Alexandr Cosogolov,Fiodor Ghimp,Alexandr Cosogolov,10-12;11-6;8-11;11-6;11-6,639914
2025-06-01,01:00:00,2025-06-01 Men Night1 Mexico,Vadim Urechean,Fiodor Ghimp,Fiodor Ghimp,5-11;9-11;11-2;11-6;7-11,639915
2025-06-01,01:30:00,2025-06-01 Men Night1 Mexico,Alexandr Cosogolov,Dmitri Culaghin,Alexandr Cosogolov,11-3;4-11;3-11;12-10;11-3,639916
2025-06-01,02:00:00,2025-06-01 Men Night1 Mexico,Vadim Urechean,Alexandr Cosogolov,Vadim Urechean,11-8;11-4;11-9,639917
2025-06-01,02:30:00,2025-06-01 Men Night1 Mexico,Fiodor Ghimp,Dmitri Culaghin,Dmitri Culaghin,11-13;7-11;7-11,639918
2025-06-01,03:00:00,2025-06-01 Men Night1 Mexico,Fiodor Ghimp,Vadim Urechean,Fiodor Ghimp,12-10;11-4;12-10,640360
2025-06-01,03:30:00,2025-06-01 Men Night1 Mexico,Dmitri Culaghin,Alexandr Cosogolov,Dmitri Culaghin,13-11;11-8;6-11;6-11;12-10,640361
2025-06-01,03:30:00,2025-06-01 Men Morning New Delhi,Ritesh Kumar,Amit Kumar,Amit Kumar,8-11;11-5;2-11;5-11,640022
2025-06-01,04:00:00,2025-06-01 Men Morning New Delhi,Verma Nitin,Chamoli Karan,Verma Nitin,11-6;11-8;13-11,640023
2025-06-01,04:25:00,2025-06-01 Men Morning London,Pavlo Chyzh,Oleh Savenkov,Oleh Savenkov,4-11;8-11;8-11,640042
2025-06-01,04:30:00,2025-06-01 Men Morning Rome,Dmytro Prylepa,Artem Kasyanov,Artem Kasyanov,11-9;14-12;9-11;5-11;5-11,639987
