player,elo,matches
Serhii Ponomarenko,2196.8,885
Veniamin Dubrovin,1998.0,320
Maksym Badai,1907.0,782
Andrii Hrebeniuk,1882.7,309
Illia Hubariev,1867.8,161
Nazar Danyliuk,1864.2,1078
Anton Molochko,1841.9,1037
Serhii Balabei,1827.2,976
Andrii Zeniuk,1823.3,560
Oleksii Hrymovskyi,1797.8,917
Demik Ying,1795.8,292
Iolanta Yevtodii,1786.7,172
Anton Tur,1779.9,200
Roman Horokh,1771.2,1316
Serhii Chuhai,1770.6,983
Vadym Komar,1770.2,686
Tomas Hlavacek,1768.1,88
Ivan Fedoryshyn,1764.2,885
Oleksandr Dukhovenko,1758.8,896
Yevhen Kryvorotko,1757.5,500
Oleksandr Ivchuk,1753.9,582
Vadym Hryban,1752.8,510
Artem Kasyanov,1749.5,757
Oleksandr Zhurba,1749.3,818
Victor Turcan,1746.9,643
Bohdan Chaikovskyi,1743.7,636
Alina Ovriakh,1729.9,70
Daniel Belibov,1726.9,492
Denys Pesternikov,1719.8,1190
Andrii Lushchyk,1719.6,864
Oleh Bindas,1719.6,878
Mykyta Zavada,1717.5,459
Anatolii Levshyn,1710.8,177
Kateryna Bondarenko,1707.9,84
Ilie Sulima,1706.2,588
Petru Bulat,1705.7,220
Serhii Maksymiv,1702.8,776
Oleksandr Tuzhylin,1700.6,733
Yehor Riadynskyi,1699.8,733
Artem Yurkov,1698.8,1029
Bohdan Kohut,1696.8,565
Oleksii Rodin,1694.2,184
Oleksandr Alieksieev,1692.2,165
Victor Iasciuc,1689.7,632
Yan Krol,1689.5,613
Serhii Kushnirenko,1688.8,680
Nataliia Plokhotniuk,1688.2,196
Roman Zholubak,1686.3,872
Petr Wasik,1684.3,107
Vasyl Verbianyi,1680.9,807
Roman Konkulovskyi,1675.9,594
Adrian Virlan,1674.7,220
Dmytro Yurkov,1671.4,1098
Dmytro Kryshtal,1670.8,596
Ihor Shyndel,1670.3,308
Sergiu Ursu,1668.7,731
Vitalii Levshyn,1667.3,711
Oleh Torianyk,1664.0,537
Oleg Dobrjinschi,1661.8,160
Roman Tveritinov,1660.4,811
Tomas Hybl,1657.4,136
Oleksandr Kolbasenko,1656.5,338
Martin Kocvara,1656.2,68
Oleksandr Bondarchuk,1654.6,397
Oleksandr Storozhenko,1654.1,336
Vitalii Kryvenko,1653.7,85
Oleksandr Cherkas,1650.9,344
Valerii Melnyk,1650.5,777
Dmytro Tsys,1649.7,223
Anatoli Mitul,1647.2,628
Volodymyr Chornobab,1646.8,118
Serhii Aristarkhov,1646.5,653
Yevhen Masko,1646.4,844
Serghei Cucerovschii,1645.0,264
Olena Pentiuk,1644.6,84
Iurii Covic,1644.0,328
Ladislav Dobias,1643.2,633
Josef Gruber,1641.3,228
Adam Radkovsky,1640.8,318
David Gasparovic,1639.7,140
Dmytro Zeniuk,1639.4,786
Josef Chalupa,1638.7,392
Oleksandr Gomilko,1637.6,587
Stanislav Casapciuc,1637.0,232
Maksym Hubenko,1636.1,1063
Denys Shcherbak,1632.3,492
Oleksii Korobov,1631.5,315
Ondrej Chadima,1630.5,624
Myroslav Loboda,1630.2,934
Artem Chepurnyi,1629.4,1024
Mykhailo Hlaholev,1629.1,133
Lukas Provaznik,1627.5,372
Jakub Makara,1627.2,68
Yurii Volkov,1624.9,835
Bansal Sampan,1624.4,63
Nicolae Salaru,1624.0,568
Jakub Senk,1622.4,304
Victor Tihoniuc,1622.1,384
Oleg Gavryshko,1621.9,643
Oleksandr Sydorchuk,1621.5,283
Lukas Adam,1620.3,580
Oleksandr Zhyrnov,1619.2,798
Nazar Petukh,1618.4,339
Serhii Kyienko,1618.0,199
Denis Mykytuk,1617.4,228
Volodymyr Maksiuta,1616.6,225
Anton Marenco,1616.5,684
Anastasiia Volgina,1615.3,654
Zdenek Vasatko,1614.8,285
Myhailo Styranets,1614.8,201
Miroslav Ciubinidze,1614.2,472
Ihor Sukovatyi,1612.9,388
Viktor Pluzhnyk,1612.9,64
Yaroslav Veremiichuk,1612.7,460
Maxim Ungurean,1612.0,655
Myhailo Levytskyi,1611.3,366
Matus Zelinka,1611.0,319
Volodymyr Hrybeniuk,1610.5,267
Roman Cherevko,1610.1,812
Volodymyr Tatarnykov,1609.5,442
Oleh Lutsyshyn,1608.0,117
Cristian Bambuleac,1607.5,232
Serhii Rak,1607.5,784
Eduard Bernatskyi,1606.3,233
Andrii Romanenko,1606.2,408
Sergiu Nazaria,1606.2,112
Oleh Hudyma,1606.0,150
Eldar Bektemirov,1606.0,320
Vladyslav-Ivan Sheremeta,1605.7,130
Andrii Obishchenko,1605.1,157
Pavlo Babenko,1605.1,580
Lukas Heinzl,1604.8,672
Volodymyr Burylov,1604.1,343
Pavlo Shulhachyk,1603.9,380
Zdenek Sedivy,1603.1,200
Andrii Vasylets,1602.9,563
Jan Sr Krames,1602.4,748
Ihor Mayboroda,1602.0,68
Roman Merkl,1600.5,580
Mandeep Singh,1600.1,55
Yaroslav Vorsulyak,1599.4,922
Jan Rochowanski,1598.7,164
Vitalii S. Marushchak,1598.2,598
Fiodor Ghimp,1598.0,1105
Andrii Kovrikov,1594.7,70
Roman Turcanu,1594.2,416
David Brichacek,1593.7,204
Jan Jr Simecek,1593.3,392
Volodymyr Kaidakov,1592.8,611
Artem Ovchynnikov,1592.5,64
Adam Pavlik,1592.2,328
Martin Bouska,1591.3,80
Yurii Parahailo,1591.3,802
Roman Hnoievoi,1591.3,886
Andrii Kotiash,1591.2,484
Yurii Leymanovsky,1590.5,64
Leon Kolman,1589.9,688
Martin Vana,1589.9,152
Yaroslav Tebenko,1589.1,809
Jachym Juppa,1588.7,908
Serhii Bului,1588.7,167
Ondrej Kaderabek,1587.5,424
Alexandru Policiuc,1587.4,88
Ivan Romaniak,1586.7,404
Lukas Svoboda,1585.7,195
Arsenii Lobanov,1585.7,113
Martin Melisek,1585.0,135
Andrii Hrabskyi,1585.0,385
Vitalii Krokhmal,1584.3,323
Oleksandr Lipeiko,1584.2,493
Ivan Sushko,1583.9,116
Alexandr Bodac,1583.9,496
Gregory Kuzmenko,1583.3,603
Vitalii Kobets,1583.2,869
Serhii Maliuk,1583.1,483
Pavel Sourek,1581.0,240
Oleksandr Seliuchenko,1580.9,236
Lukas Veigl,1580.1,600
Sergiu Schiopu,1579.9,308
Nicolai Uzun,1579.8,360
Volodymyr Ryzhenko,1579.2,59
Vasyl Moshovskyi,1579.0,275
Filip Vesely,1578.9,272
Andrii Regush,1578.8,585
Vadym Reva,1578.8,376
Yaroslav Kovshun,1578.5,718
Ruslan Andrishak,1578.4,109
Iurii Hrekh,1577.8,387
Viktoria Shevchuk,1577.0,205
Andrei Calmis,1576.4,320
Ruslan Haiseniuk,1576.2,775
