Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-28,Bayern Munich,Stuttgart,5,1,1,0
2026-08-29,Elversberg,Leverkusen,3,2,2,0
2026-08-29,FC Koln,Hoffenheim,3,2,0,1
2026-08-29,Mainz,Paderborn,0,0,0,0
2026-08-29,RB Leipzig,M'gladbach,3,0,1,0
2026-08-29,Union Berlin,Ein Frankfurt,3,3,1,2
2026-08-29,Dortmund,Hamburg,2,0,2,0
2026-08-30,Freiburg,Werder Bremen,4,1,2,0
2026-08-30,Augsburg,Schalke 04,3,0,1,0
2026-09-04,Stuttgart,FC Koln,4,1,1,0
2026-09-05,Hoffenheim,Dortmund,2,3,1,0
2026-09-05,Leverkusen,Union Berlin,4,0,2,0
2026-09-05,M'gladbach,Elversberg,3,4,2,1
2026-09-05,Paderborn,Freiburg,0,1,0,1
2026-09-05,Werder Bremen,RB Leipzig,3,1,1,0
2026-09-05,Schalke 04,Bayern Munich,0,0,0,0
2026-09-06,Hamburg,Mainz,0,5,0,2
2026-09-06,Ein Frankfurt,Augsburg,1,4,1,0
2026-09-11,Union Berlin,Schalke 04,1,3,0,1
2026-09-12,Augsburg,Leverkusen,2,2,0,1
2026-09-12,Dortmund,Paderborn,3,0,1,0
2026-09-12,Freiburg,M'gladbach,5,0,2,0
2026-09-12,Hoffenheim,Stuttgart,2,1,1,0
2026-09-12,Mainz,Ein Frankfurt,1,3,0,2
2026-09-12,FC Koln,Werder Bremen,1,1,1,0
2026-09-13,RB Leipzig,Hamburg,5,0,2,0
2026-09-13,Elversberg,Bayern Munich,1,2,0,1
