Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-14,Wolves,Blackburn,2,2,1,1
2026-08-15,Bolton,Preston,2,1,2,0
2026-08-15,Bristol City,Millwall,0,2,0,1
2026-08-15,Charlton,Derby,2,1,0,1
2026-08-15,Middlesbrough,Lincoln,2,1,0,1
2026-08-15,Norwich,West Brom,1,2,0,0
2026-08-15,Portsmouth,QPR,1,3,1,3
2026-08-15,Stoke,Swansea,1,2,1,1
2026-08-15,Sheffield United,Birmingham,0,0,0,0
2026-08-16,Watford,Southampton,2,1,2,0
2026-08-16,Burnley,West Ham,2,2,0,1
2026-08-17,Cardiff,Wrexham,1,1,0,1
2026-08-22,Birmingham,Bristol City,2,2,1,1
2026-08-22,Lincoln,Portsmouth,1,3,1,2
2026-08-22,Millwall,Norwich,3,0,1,0
2026-08-22,Blackburn,Middlesbrough,2,1,0,1
2026-08-22,Derby,Cardiff,2,2,1,2
2026-08-22,Preston,Wolves,1,3,0,1
2026-08-22,QPR,Bolton,0,0,0,0
2026-08-22,Southampton,Stoke,3,1,1,1
2026-08-22,Swansea,Sheffield United,0,0,0,0
2026-08-22,West Ham,Charlton,1,2,0,1
2026-08-22,Wrexham,Watford,1,1,1,1
2026-08-23,West Brom,Burnley,3,1,1,1
2026-08-28,Wrexham,Birmingham,1,2,0,1
2026-08-29,Derby,Swansea,0,3,0,2
2026-08-29,Middlesbrough,West Brom,3,1,0,0
2026-08-29,Wolves,Stoke,4,1,2,1
2026-08-29,Blackburn,QPR,1,2,0,0
2026-08-29,Bolton,Lincoln,0,1,0,0
2026-08-29,Bristol City,Portsmouth,2,1,1,0
2026-08-29,Cardiff,Sheffield United,2,2,2,2
2026-08-29,Charlton,Preston,1,0,0,0
2026-08-29,Norwich,Burnley,4,1,3,1
2026-08-29,Southampton,Millwall,5,1,2,1
2026-08-29,Watford,West Ham,1,1,1,1
2026-09-01,Lincoln,Blackburn,0,0,0,0
2026-09-01,Portsmouth,Derby,0,2,0,1
2026-09-01,Preston,Bristol City,1,3,0,1
2026-09-01,Sheffield United,Bolton,3,2,1,1
2026-09-01,Swansea,Watford,2,0,2,0
2026-09-01,West Ham,Wolves,4,2,2,1
2026-09-01,Birmingham,Southampton,1,1,0,1
2026-09-01,Stoke,Norwich,1,0,1,0
2026-09-02,Millwall,Wrexham,0,3,0,1
2026-09-02,QPR,Cardiff,2,1,1,0
2026-09-02,West Brom,Charlton,1,1,0,0
2026-09-02,Burnley,Middlesbrough,1,1,0,1
2026-09-05,Lincoln,Southampton,1,1,0,1
2026-09-05,Preston,Blackburn,2,1,2,0
2026-09-05,Stoke,Charlton,4,0,4,0
2026-09-05,Burnley,Bristol City,1,2,0,0
2026-09-05,Millwall,Bolton,4,0,1,0
2026-09-05,Portsmouth,Cardiff,2,0,1,0
2026-09-05,QPR,Middlesbrough,0,1,0,1
2026-09-05,Sheffield United,Norwich,1,3,1,2
2026-09-05,West Brom,Watford,1,0,1,0
2026-09-05,West Ham,Derby,3,0,1,0
2026-09-05,Swansea,Wrexham,0,0,0,0
2026-09-06,Birmingham,Wolves,2,2,2,2
2026-09-08,Blackburn,Sheffield United,1,2,1,2
2026-09-08,Cardiff,Stoke,1,1,0,1
2026-09-08,Southampton,Swansea,3,1,2,0
2026-09-08,Watford,Preston,2,1,0,1
2026-09-08,Wrexham,Burnley,1,1,0,1
2026-09-08,Bolton,West Ham,2,3,2,2
2026-09-09,Derby,West Brom,0,1,0,1
2026-09-09,Norwich,Birmingham,2,1,2,0
2026-09-09,Charlton,QPR,0,0,0,0
2026-09-11,West Ham,Wrexham,6,0,2,0
2026-09-12,Bolton,Cardiff,1,0,0,0
2026-09-12,Derby,Birmingham,1,2,1,1
2026-09-12,West Brom,QPR,1,1,1,1
2026-09-12,Blackburn,Millwall,3,1,1,0
2026-09-12,Charlton,Portsmouth,0,0,0,0
2026-09-12,Middlesbrough,Norwich,4,3,3,1
2026-09-12,Preston,Lincoln,0,1,0,0
2026-09-12,Southampton,Bristol City,4,1,1,0
2026-09-12,Swansea,Burnley,3,1,2,0
2026-09-12,Watford,Stoke,1,2,0,1
2026-09-13,Sheffield United,Wolves,0,1,0,0
2026-09-15,Bristol City,Lincoln,0,1,0,0
2026-09-15,Middlesbrough,Millwall,2,2,0,2
