Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-07,Cambuur,Excelsior,0,4,0,3
2026-08-08,Nijmegen,Telstar,1,2,0,2
2026-08-08,Go Ahead Eagles,Willem II,4,1,1,1
2026-08-08,PSV Eindhoven,For Sittard,2,2,0,1
2026-08-08,AZ Alkmaar,Den Haag,2,0,0,0
2026-08-09,Sparta Rotterdam,Feyenoord,0,1,0,1
2026-08-09,Groningen,Utrecht,2,1,1,0
2026-08-09,Zwolle,Ajax,0,2,0,0
2026-08-09,Heerenveen,Twente,1,0,0,0
2026-08-14,Telstar,Sparta Rotterdam,1,3,0,1
2026-08-15,Willem II,Nijmegen,1,4,0,1
2026-08-15,Utrecht,AZ Alkmaar,1,4,0,1
2026-08-15,Excelsior,PSV Eindhoven,1,2,0,1
2026-08-15,For Sittard,Cambuur,3,1,2,1
2026-08-16,Den Haag,Groningen,1,4,0,3
2026-08-16,Feyenoord,Go Ahead Eagles,2,2,2,0
2026-08-16,Twente,Zwolle,3,1,1,1
2026-08-16,Ajax,Heerenveen,2,2,2,1
2026-08-22,For Sittard,AZ Alkmaar,0,2,0,0
2026-08-22,Sparta Rotterdam,Utrecht,3,3,1,1
2026-08-22,Heerenveen,Zwolle,0,2,0,0
2026-08-23,Go Ahead Eagles,Den Haag,3,1,1,0
2026-08-23,PSV Eindhoven,Groningen,5,1,3,1
2026-08-23,Cambuur,Feyenoord,2,5,0,4
2026-08-28,Groningen,For Sittard,2,3,1,2
2026-08-29,Excelsior,Sparta Rotterdam,2,1,1,0
2026-08-29,AZ Alkmaar,Go Ahead Eagles,5,2,2,1
2026-08-29,Zwolle,Nijmegen,1,3,1,2
2026-08-30,Utrecht,PSV Eindhoven,1,6,1,2
2026-08-30,Feyenoord,Den Haag,2,2,0,1
2026-08-30,Willem II,Heerenveen,2,2,0,0
2026-08-30,Telstar,Ajax,0,4,0,1
2026-08-30,Cambuur,Twente,1,4,0,2
2026-09-04,Sparta Rotterdam,Zwolle,2,2,1,1
2026-09-05,Nijmegen,Feyenoord,1,3,0,0
2026-09-05,Ajax,PSV Eindhoven,1,3,1,2
2026-09-05,Willem II,Excelsior,0,3,0,2
2026-09-06,Groningen,Twente,2,2,2,2
2026-09-06,Heerenveen,AZ Alkmaar,2,3,2,1
2026-09-06,Telstar,Cambuur,2,2,0,0
2026-09-06,Den Haag,For Sittard,2,3,0,2
2026-09-08,Utrecht,Go Ahead Eagles,3,3,0,1
2026-09-08,Nijmegen,Excelsior,2,2,1,1
2026-09-09,Twente,Telstar,1,0,0,0
2026-09-11,AZ Alkmaar,Willem II,1,1,1,0
2026-09-12,Twente,Den Haag,2,0,0,0
2026-09-12,Go Ahead Eagles,Groningen,1,1,0,1
2026-09-12,For Sittard,Ajax,1,5,0,1
2026-09-12,Cambuur,Nijmegen,3,0,1,0
2026-09-13,Excelsior,Utrecht,1,2,0,1
2026-09-13,Heerenveen,Telstar,0,0,0,0
2026-09-13,Zwolle,Feyenoord,0,7,0,3
2026-09-13,PSV Eindhoven,Sparta Rotterdam,4,1,2,1
2026-09-15,Ajax,Willem II,5,1,2,0
