Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-15,Alaves,Getafe,3,0,0,0
2026-08-15,Sevilla,Vallecano,2,1,0,1
2026-08-16,Santander,Villarreal,2,2,2,2
2026-08-16,Espanol,Levante,3,0,2,0
2026-08-17,La Coruna,Elche,1,1,1,0
2026-08-19,Ath Madrid,Malaga,2,0,0,0
2026-08-20,Vallecano,Alaves,1,1,0,0
2026-08-21,Betis,Sociedad,1,0,0,0
2026-08-22,Ath Bilbao,Sevilla,1,3,0,1
2026-08-22,Valencia,Celta,0,0,0,0
2026-08-22,Espanol,Real Madrid,1,2,1,1
2026-08-23,Ath Madrid,Villarreal,2,2,0,0
2026-08-23,Getafe,Santander,1,0,0,0
2026-08-23,Elche,Barcelona,0,5,0,2
2026-08-24,Osasuna,Levante,0,0,0,0
2026-08-24,Malaga,La Coruna,1,1,1,1
2026-08-25,Valencia,Betis,0,1,0,0
2026-08-26,Real Madrid,Sociedad,4,1,1,1
2026-08-27,Celta,Osasuna,1,2,1,0
2026-08-27,Barcelona,Ath Bilbao,2,0,1,0
2026-08-28,Santander,Elche,3,2,3,0
2026-08-28,Alaves,Villarreal,1,0,1,0
2026-08-29,Levante,Betis,5,2,2,2
2026-08-29,Sociedad,Espanol,2,1,1,1
2026-08-29,Sevilla,Ath Madrid,1,3,0,3
2026-08-30,Real Madrid,Malaga,4,0,3,0
2026-08-30,La Coruna,Valencia,3,1,2,1
2026-08-30,Celta,Ath Bilbao,0,2,0,2
2026-08-31,Osasuna,Getafe,1,0,1,0
2026-08-31,Barcelona,Vallecano,5,2,2,1
2026-09-03,Sociedad,Celta,0,0,0,0
2026-09-04,Betis,Real Madrid,1,0,0,0
2026-09-05,Ath Bilbao,Ath Madrid,3,0,0,0
2026-09-05,Vallecano,Santander,3,2,2,2
2026-09-05,Villarreal,La Coruna,2,3,1,1
2026-09-06,Valencia,Barcelona,0,5,0,2
2026-09-06,Alaves,Osasuna,5,2,2,0
2026-09-06,Malaga,Levante,0,0,0,0
2026-09-06,Espanol,Sevilla,1,1,0,0
2026-09-07,Getafe,Celta,1,1,1,0
2026-09-07,Elche,Sociedad,2,3,0,2
2026-09-11,Sevilla,Valencia,1,0,0,0
2026-09-12,Santander,Alaves,2,1,1,1
2026-09-12,Osasuna,Espanol,0,2,0,2
2026-09-12,Ath Bilbao,Elche,1,1,0,0
2026-09-12,Real Madrid,Vallecano,4,1,3,0
2026-09-13,Celta,Malaga,1,1,1,0
2026-09-13,Levante,Barcelona,2,4,0,2
2026-09-13,Getafe,La Coruna,1,1,0,0
2026-09-13,Sociedad,Ath Madrid,0,3,0,0
2026-09-14,Villarreal,Betis,1,2,1,2
2026-09-15,Vallecano,Espanol,2,1,2,0
2026-09-15,Alaves,Valencia,0,1,0,0
2026-09-15,Elche,Real Madrid,2,3,0,2
2026-09-16,Ath Madrid,Osasuna,4,0,1,0
2026-09-16,La Coruna,Sevilla,0,1,0,0
2026-09-16,Barcelona,Santander,7,2,4,1
2026-09-17,Betis,Getafe,1,0,1,0
2026-09-17,Malaga,Villarreal,1,3,1,2
