Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-14,Sociedad B,Castellon,0,1,0,1
2026-08-15,Andorra,Ceuta,5,1,1,0
2026-08-15,Cadiz,Celta B,0,0,0,0
2026-08-15,Oviedo,Granada,0,0,0,0
2026-08-15,Mallorca,Valladolid,2,0,0,0
2026-08-16,Eibar,Tenerife,1,3,1,2
2026-08-16,Burgos,Cordoba,3,2,2,2
2026-08-16,Girona,Leganes,1,1,0,0
2026-08-16,Las Palmas,Albacete,2,1,1,0
2026-08-17,Sp Gijon,Sabadell,0,0,0,0
2026-08-17,Almeria,Eldense,3,0,3,0
2026-08-21,Cordoba,Girona,2,1,2,0
2026-08-22,Oviedo,Leganes,0,1,0,1
2026-08-22,Albacete,Sociedad B,1,2,0,2
2026-08-22,Ceuta,Las Palmas,0,2,0,1
2026-08-22,Eldense,Cadiz,2,2,0,0
2026-08-23,Eibar,Valladolid,1,0,0,0
2026-08-23,Castellon,Sabadell,0,0,0,0
2026-08-23,Sp Gijon,Burgos,1,0,1,0
2026-08-23,Tenerife,Almeria,1,0,1,0
2026-08-24,Celta B,Andorra,4,2,0,0
2026-08-24,Granada,Mallorca,2,0,1,0
2026-08-28,Tenerife,Sp Gijon,0,1,0,0
2026-08-29,Sabadell,Almeria,1,0,0,0
2026-08-29,Albacete,Oviedo,0,1,0,1
2026-08-29,Leganes,Eldense,1,0,0,0
2026-08-29,Girona,Las Palmas,5,2,1,0
2026-08-30,Andorra,Eibar,0,1,0,0
2026-08-30,Cadiz,Valladolid,1,1,1,1
2026-08-30,Mallorca,Ceuta,3,0,1,0
2026-08-30,Cordoba,Granada,1,3,1,0
2026-08-31,Burgos,Sociedad B,2,2,1,1
2026-08-31,Celta B,Castellon,1,2,0,1
2026-09-04,Las Palmas,Leganes,0,0,0,0
2026-09-05,Sociedad B,Tenerife,1,1,0,0
2026-09-05,Sp Gijon,Girona,0,2,0,1
2026-09-05,Ceuta,Celta B,0,2,0,1
2026-09-05,Valladolid,Andorra,1,0,1,0
2026-09-05,Eldense,Mallorca,0,0,0,0
2026-09-06,Eibar,Granada,3,0,2,0
2026-09-06,Oviedo,Burgos,0,0,0,0
2026-09-06,Castellon,Albacete,2,0,0,0
2026-09-06,Almeria,Cadiz,3,2,3,1
2026-09-07,Sabadell,Cordoba,3,2,2,1
2026-09-11,Burgos,Ceuta,3,1,1,1
2026-09-12,Andorra,Sociedad B,1,3,0,3
2026-09-12,Cadiz,Las Palmas,0,1,0,0
2026-09-12,Girona,Castellon,1,2,1,0
2026-09-12,Granada,Albacete,1,1,0,0
2026-09-12,Cordoba,Almeria,0,2,0,0
2026-09-13,Sp Gijon,Eldense,0,1,0,0
2026-09-13,Valladolid,Oviedo,0,3,0,1
2026-09-13,Mallorca,Sabadell,2,0,2,0
2026-09-13,Tenerife,Leganes,2,0,1,0
2026-09-14,Celta B,Eibar,0,4,0,4
