Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-21,Marseille,Strasbourg,4,0,0,0
2026-08-22,Lens,Auxerre,5,2,1,0
2026-08-22,Le Mans,Brest,2,2,1,1
2026-08-22,Nice,Lorient,0,0,0,0
2026-08-22,Toulouse,Lyon,0,2,0,0
2026-08-22,Troyes,Paris FC,0,0,0,0
2026-08-23,Angers,Lille,0,2,0,2
2026-08-23,Le Havre,Monaco,0,1,0,1
2026-08-23,Rennes,Paris SG,2,2,2,0
2026-08-28,Lille,Paris SG,2,2,1,0
2026-08-29,Strasbourg,Lens,2,1,0,1
2026-08-29,Auxerre,Angers,1,3,1,1
2026-08-29,Brest,Toulouse,2,2,1,1
2026-08-29,Lorient,Troyes,1,2,0,2
2026-08-29,Lyon,Le Havre,1,1,0,0
2026-08-30,Paris FC,Nice,3,0,1,0
2026-08-30,Rennes,Le Mans,3,2,2,1
2026-08-30,Monaco,Marseille,2,0,1,0
2026-09-03,Toulouse,Lille,0,1,0,0
2026-09-04,Lyon,Auxerre,3,1,2,1
2026-09-04,Paris SG,Monaco,1,2,1,0
2026-09-05,Lens,Lorient,0,1,0,0
2026-09-05,Le Havre,Brest,1,2,0,1
2026-09-05,Nice,Le Mans,1,1,1,1
2026-09-06,Troyes,Strasbourg,2,6,1,2
2026-09-06,Angers,Rennes,1,2,1,2
2026-09-06,Marseille,Paris FC,2,3,1,2
2026-09-11,Rennes,Marseille,1,0,0,0
2026-09-12,Strasbourg,Monaco,1,1,0,0
2026-09-12,Auxerre,Nice,1,0,0,0
2026-09-12,Le Havre,Angers,0,0,0,0
2026-09-12,Lorient,Toulouse,2,2,2,0
2026-09-12,Paris FC,Lyon,0,0,0,0
2026-09-13,Lille,Troyes,2,0,1,0
2026-09-13,Le Mans,Lens,2,2,2,1
2026-09-13,Brest,Paris SG,0,1,0,1
