Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-22,Inter,Monza,4,1,1,1
2026-08-22,Udinese,Como,1,1,1,0
2026-08-22,Genoa,Napoli,0,2,0,0
2026-08-22,Parma,Cagliari,0,1,0,0
2026-08-23,Frosinone,Juventus,0,1,0,1
2026-08-23,Venezia,Lecce,0,2,0,0
2026-08-23,Atalanta,Sassuolo,2,1,1,0
2026-08-23,Torino,Milan,1,2,0,0
2026-08-24,Bologna,Lazio,0,1,0,0
2026-08-24,Roma,Fiorentina,4,0,1,0
2026-08-28,Milan,Venezia,2,0,0,0
2026-08-29,Fiorentina,Frosinone,0,3,0,2
2026-08-29,Monza,Udinese,2,3,1,3
2026-08-29,Sassuolo,Torino,2,1,1,1
2026-08-29,Juventus,Parma,2,0,0,0
2026-08-30,Napoli,Como,1,2,1,2
2026-08-30,Cagliari,Inter,0,1,0,1
2026-08-30,Lazio,Genoa,1,0,1,0
2026-08-31,Lecce,Roma,0,4,0,3
2026-08-31,Atalanta,Bologna,1,0,0,0
2026-09-04,Genoa,Como,1,4,1,3
2026-09-05,Fiorentina,Torino,1,2,0,0
2026-09-05,Inter,Napoli,3,2,0,0
2026-09-05,Roma,Atalanta,2,1,0,0
2026-09-06,Frosinone,Venezia,3,2,2,0
2026-09-06,Parma,Monza,1,1,0,1
2026-09-06,Bologna,Sassuolo,2,2,0,1
2026-09-06,Juventus,Milan,1,1,0,0
2026-09-07,Cagliari,Lecce,1,0,1,0
2026-09-07,Udinese,Lazio,1,2,0,0
2026-09-11,Venezia,Fiorentina,2,4,1,2
2026-09-12,Genoa,Frosinone,1,1,0,1
2026-09-12,Lazio,Milan,2,2,2,0
2026-09-12,Atalanta,Cagliari,1,2,1,1
2026-09-13,Lecce,Monza,3,2,3,1
2026-09-13,Napoli,Bologna,1,0,0,0
2026-09-13,Sassuolo,Juventus,3,2,0,0
2026-09-14,Como,Parma,2,1,1,0
2026-09-14,Torino,Roma,0,2,0,1
2026-09-14,Inter,Udinese,5,3,2,2
