Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-21,Vicenza,Catanzaro,3,2,1,1
2026-08-22,Carrarese,Mantova,1,2,0,1
2026-08-22,Sudtirol,Virtus Entella,1,0,0,0
2026-08-22,Avellino,Arezzo,1,2,1,0
2026-08-22,Benevento,Modena,1,2,1,0
2026-08-22,Empoli,Cremonese,1,0,1,0
2026-08-23,Pisa,Padova,0,1,0,0
2026-08-23,Verona,Ascoli,1,2,1,0
2026-08-23,Cesena,Sampdoria,1,1,1,0
2026-08-23,Palermo,Juve Stabia,1,0,1,0
2026-08-28,Cremonese,Modena,0,3,0,2
2026-08-29,Sampdoria,Juve Stabia,1,2,1,0
2026-08-29,Virtus Entella,Cesena,1,2,1,2
2026-08-29,Ascoli,Carrarese,1,1,0,0
2026-08-29,Avellino,Vicenza,3,0,2,0
2026-08-29,Padova,Verona,1,1,1,0
2026-08-30,Arezzo,Palermo,2,3,0,1
2026-08-30,Mantova,Empoli,3,1,0,0
2026-08-30,Benevento,Sudtirol,1,1,0,0
2026-08-30,Pisa,Catanzaro,2,1,2,1
2026-09-05,Sudtirol,Catanzaro,2,0,0,0
2026-09-05,Ascoli,Benevento,1,0,0,0
2026-09-05,Carrarese,Empoli,0,1,0,0
2026-09-06,Cesena,Mantova,1,1,0,1
2026-09-06,Juve Stabia,Pisa,0,3,0,1
2026-09-06,Modena,Avellino,0,1,0,1
2026-09-06,Virtus Entella,Vicenza,2,2,1,1
2026-09-06,Verona,Arezzo,5,0,0,0
2026-09-06,Cremonese,Padova,3,1,2,1
2026-09-07,Palermo,Sampdoria,3,1,2,0
2026-09-11,Empoli,Arezzo,0,1,0,0
2026-09-11,Benevento,Verona,3,1,1,1
2026-09-11,Pisa,Virtus Entella,1,4,0,3
2026-09-12,Padova,Ascoli,1,0,0,0
2026-09-12,Sudtirol,Modena,1,1,1,0
2026-09-12,Vicenza,Juve Stabia,1,1,0,0
2026-09-12,Catanzaro,Carrarese,1,0,0,0
2026-09-12,Cesena,Cremonese,2,2,1,0
2026-09-13,Avellino,Palermo,1,1,0,0
2026-09-13,Mantova,Sampdoria,2,0,0,0
