Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
2026-08-14,Galatasaray,Corum,2,2,0,0
2026-08-15,Kasimpasa,Trabzonspor,1,1,0,1
2026-08-15,Konyaspor,Rizespor,0,1,0,0
2026-08-15,Gaziantep,Alanyaspor,1,1,0,1
2026-08-15,Genclerbirligi,Fenerbahce,2,1,1,1
2026-08-16,Buyuksehyr,Kocaelispor,2,0,1,0
2026-08-16,Amedspor,Erzurumspor,3,0,0,0
2026-08-16,Besiktas,Eyupspor,1,0,1,0
2026-08-17,Samsunspor,Goztep,3,3,2,1
2026-08-21,Erzurumspor,Galatasaray,0,4,0,3
2026-08-22,Corum,Kasimpasa,0,1,0,1
2026-08-22,Rizespor,Samsunspor,0,2,0,1
2026-08-22,Fenerbahce,Konyaspor,4,2,3,1
2026-08-23,Eyupspor,Gaziantep,0,1,0,0
2026-08-23,Trabzonspor,Buyuksehyr,2,1,1,1
2026-08-23,Alanyaspor,Besiktas,1,0,0,0
2026-08-23,Goztep,Genclerbirligi,0,1,0,0
2026-08-24,Kocaelispor,Amedspor,2,0,1,0
2026-08-28,Genclerbirligi,Erzurumspor,1,1,0,0
2026-08-29,Konyaspor,Kocaelispor,1,2,1,0
2026-08-29,Galatasaray,Goztep,3,2,1,1
2026-08-29,Gaziantep,Rizespor,1,2,0,2
2026-08-30,Eyupspor,Alanyaspor,2,1,1,1
2026-08-30,Buyuksehyr,Kasimpasa,1,1,1,0
2026-08-30,Samsunspor,Fenerbahce,0,2,0,1
2026-08-31,Amedspor,Trabzonspor,2,1,1,1
2026-08-31,Besiktas,Corum,6,2,2,0
2026-09-04,Buyuksehyr,Galatasaray,2,3,0,1
2026-09-05,Erzurumspor,Konyaspor,1,0,1,0
2026-09-05,Fenerbahce,Besiktas,1,2,1,1
2026-09-06,Corum,Eyupspor,3,0,2,0
2026-09-06,Kasimpasa,Amedspor,2,2,1,0
2026-09-06,Kocaelispor,Samsunspor,1,0,1,0
2026-09-06,Trabzonspor,Genclerbirligi,5,0,3,0
2026-09-07,Goztep,Gaziantep,2,4,0,4
2026-09-07,Rizespor,Alanyaspor,0,1,0,0
2026-09-11,Besiktas,Erzurumspor,3,0,2,0
2026-09-12,Eyupspor,Rizespor,0,2,0,1
2026-09-12,Samsunspor,Corum,1,5,1,3
2026-09-12,Alanyaspor,Goztep,2,2,0,1
2026-09-12,Konyaspor,Trabzonspor,1,0,1,0
2026-09-13,Genclerbirligi,Kasimpasa,1,2,1,0
2026-09-13,Amedspor,Buyuksehyr,5,0,1,0
2026-09-13,Galatasaray,Kocaelispor,1,0,0,0
2026-09-14,Gaziantep,Fenerbahce,0,0,0,0
