fixture,league,home,away,mH,mD,mA,xH,xD,xA,dH,dD,dA,evH,evD,evA,oH,oD,oA,o25,btts
Tottenham v Aston Villa,Premier League,Tottenham,Aston Villa,0.34090909090909094,0.34090909090909094,0.31818181818181823,0.3728119747540943,0.2490873397407882,0.3781006855051174,0.03190288384500334,-0.09182175116830274,0.05991886732329915,0.30484191163932994,-0.12819431090724132,0.4178775706441902,3.5,3.5,3.75,0.5393760012849832,0.5741263563664921
Brighton v Arsenal,Premier League,Brighton,Arsenal,0.18875316893293387,0.2419912422217101,0.569255588845356,0.2509977064416479,0.2427189182758444,0.5062833752825077,0.06224453750871406,0.0007276760541343186,-0.06297221356284832,0.2549885322082397,-0.053396218724206856,-0.16063545676847413,5.0,3.9,1.6578947368421053,0.4776007475156978,0.4861393773711102
Everton v Ipswich,Premier League,Everton,Ipswich,0.5464965397923875,0.25194636678200694,0.20155709342560554,0.4285223827109668,0.2440175875716365,0.3274600297173966,-0.11797415708142073,-0.00792877921037044,0.12590293629179103,-0.24928033705522357,-0.07273316722778134,0.5554351411576337,1.7518796992481203,3.8,4.75,0.5624651189940566,0.589605942870759
Newcastle v Hull,Premier League,Newcastle,Hull,0.34891835310537334,0.34891835310537334,0.30216329378925333,0.5021593635483576,0.2542555089047209,0.2435851275469217,0.15324101044298422,-0.09466284420065246,-0.05857816624233164,1.1743500441643882,0.1009263535574414,0.21792563773460838,4.33,4.33,5.0,0.4432475490781383,0.4699360375864433
Nott'm Forest v Coventry,Premier League,Nott'm Forest,Coventry,0.5915787778761775,0.23645439175589728,0.1719668303679253,0.5805696918314858,0.2212482786901922,0.1981820294783219,-0.011009086044691752,-0.015206113065705074,0.026215199110396603,-0.07178378611373248,-0.1150068852392312,0.09000116213077036,1.5988023952095807,4.0,5.5,0.5329473197499345,0.5020589563347257
Bournemouth v Liverpool,Premier League,Bournemouth,Liverpool,0.3069697538981777,0.250422693969566,0.4426075521322562,0.4148859561122444,0.2301861889482289,0.3549278549395266,0.10791620221406667,-0.020236505021337114,-0.08767969719272961,0.2861464639479576,-0.12529248199673026,-0.23690511188001784,3.1,3.8,2.15,0.655248914129447,0.6635524589615593
Leeds v Crystal Palace,Premier League,Leeds,Crystal Palace,0.540444845777292,0.24915640891592608,0.21039874530678201,0.4769407032440277,0.2463546135339115,0.2767046832220606,-0.06350414253326431,-0.0028017953820145824,0.06630593791527858,-0.16445726424166573,-0.06385246857113636,0.24517107449927278,1.7518796992481203,3.8,4.5,0.5161632405134149,0.5410999857944443
Man City v Sunderland,Premier League,Man City,Sunderland,0.7241674721026272,0.17120639662595555,0.10462613127141726,0.6449757443636674,0.1969734974564972,0.158050758179835,-0.07919172773895977,0.02576710083054165,0.05342462690841773,-0.16133784591751354,0.08335423601073466,0.4224568236185149,1.3003003003003002,5.5,9.0,0.5583256696055411,0.4691256702889995
Fulham v Man United,Premier League,Fulham,Man United,0.27240143369175623,0.25089605734767023,0.4767025089605735,0.3249343184159209,0.2314539114410386,0.4436117701430404,0.052532884724164675,-0.019442145906631625,-0.033090738817533105,0.13727011445572312,-0.12047513652405328,-0.11277645971391925,3.5,3.8,2.0,0.6224001941120655,0.6299854708837161
Espanol v Elche,La Liga,Espanol,Elche,0.5178082191780822,0.27123287671232876,0.21095890410958903,0.4228334561524614,0.2457737479230756,0.3313927959244629,-0.0949747630256208,-0.02545912878925316,0.12043389181487388,-0.2248053303871541,-0.13979188226923545,0.4912675816600831,1.8333333333333335,3.5,4.5,0.5546617459064874,0.5834355143886869
Osasuna v Vallecano,La Liga,Osasuna,Vallecano,0.4048278591214879,0.2882865057380293,0.3068856351404828,0.4062617412646896,0.2669819491509211,0.3267563095843894,0.0014338821432017257,-0.02130455658710817,0.01987067444390661,-0.045284908027979354,-0.11895956780196038,0.012944559711607129,2.35,3.3,3.1,0.4414606880413524,0.4950160497258748
Ath Bilbao v Alaves,La Liga,Ath Bilbao,Alaves,0.5688622754491017,0.25149700598802394,0.17964071856287425,0.379585400119779,0.2536526055012534,0.3667619943789677,-0.18927687532932275,0.002155599513229467,0.18712127581609347,-0.3706873629593138,-0.048802729370299724,0.9255004704895806,1.6578947368421053,3.75,5.25,0.5171310683735983,0.557144348021192
Celta v Santander,La Liga,Celta,Santander,0.5256916996047432,0.24901185770750986,0.225296442687747,0.5128204858775325,0.2166398238111803,0.2705396903112871,-0.012871213727210673,-0.03237203389632956,0.045243247623540095,-0.07692312542044155,-0.1767686695175149,0.13626669930740598,1.8,3.8,4.2,0.6786906643783706,0.6598164664547572
Sevilla v Barcelona,La Liga,Sevilla,Barcelona,0.08595988538681948,0.12607449856733524,0.7879656160458453,0.1481259874409649,0.1488613473186797,0.7030126652403552,0.06216610205414541,0.022786848751344457,-0.08495295080549004,0.6293858618506138,0.11646010489009773,-0.15638480171157376,11.0,7.5,1.2,0.7578056490357606,0.5786294195680196
Getafe v Malaga,La Liga,Getafe,Malaga,0.4572617246596066,0.3023827534039334,0.2403555219364599,0.4389483943297672,0.3069663500186192,0.2540852556516135,-0.01831333032983945,0.004583596614685825,0.013729733715153597,-0.10015579162397736,-0.04840431494228037,-0.009067502958707396,2.05,3.1,3.9,0.2619489606082101,0.3291675011233104
